O79,'Griffin's Londis','Coffee Shop',2,'37 Molesworth Street' 
O80,'New Millennium Chinese Restaurant','Restaurant',2,'109 Grafton Street' 
O81,'Carluccio's Ireland Ltd.','Restaurant',2,'51 South King Street' 
O82,'The Bank','Bar',2,'52 Dawson Street' 
O83,'O'Briens Sandwich Bar','Coffee Shop',2,'College Green' 
O84,'Lucianos Take-away','Fast Food',2,'23c Dawson Street' 
O85,'The Purty Kitchen','Bar',2,'72 Aungier Street' 
O86,'The Ferryman','Bar',2,'35 East Essex Street' 
O87,'Spar','Coffee Shop',4,'54 - 56 Donnybrook Road' 
O88,'Lemon Crepe & Coffee Co.','Coffee Shop',2,'23 - 25 Upper Baggot Street' 
O89,'Lemon Crepe & Coffee Co.','Coffee Shop',2,'23 - 25 Upper Baggot Street' 
O90,'Acapulco Mexican Restaurant','Restaurant',2,'66 South William Street' 
O91,'Keogh's Café','Coffee Shop',2,'7 South Great George's Street' 
O92,'Govinda's','Restaurant',2,'1 - 2 Trinity Street' 
O93,'Labond Ltd. t/a Botticelli Restaurant','Restaurant',2,'18 Merrion Row' 
O94,'Eddie Rockets (Ireland) Ltd.','Fast Food',2,'3 Temple Bar' 
O95,'Eddie Rockets','Fast Food',2,'Donnybrook' 
O96,'Spar','Coffee Shop',3,'54 - 56 Donnybrook Road' 
O97,'Exchequer News','Coffee Shop',2,'Philipsburgh Ave' 
O98,'The Ginger Man','Bar',2,'19 Exchequer St' 
O99,'Odessa Restaurant','Restaurant',2,'39/40 Fenian Street' 
O100,'Spar (Grafton Street)','Coffee Shop',2,'13/14 Dame Court' 
O101,'Spar (Nassau Street)','Coffee Shop',2,'115 Grafton Street' 
O102,'Grafton Capital Hotel','Hotel',2,'40 Nassau Street' 
O103,'Five Restaurant','Restaurant',2,'Lr Stephen St' 
O104,'Spar Marino Mart','Coffee Shop',3,'5 South Anne St' 
O105,'Coopers Restaurant','Restaurant',2,'Fairview' 
O106,'O'Briens Irish Sandwich Bars','Coffee Shop',4,'62 Lr Leeson St' 
O107,'O'Callaghan Davenport Hotel','Hotel',2,'Clontarf' 
O108,'O'Callaghan Alexander Hotel','Hotel',2,'Merrion Square' 
O109,'O'Callaghan Mont Clare Hotel','Hotel',2,'Merrion Square' 
O110,'O'Callaghan Stephens Green Hotel','Hotel',2,'Merrion Square' 
O111,'Retail Unit Block 6','Coffee Shop',22,'St Stephens Green' 
O112,'O'Neills Pub','Bar',22,'Clanwilliam Court' 
O113,'Ho Sen','Restaurant',2,'37 Pearse Street' 
O114,'Campbell Bewley Group','Restaurant',2,'6 Cope Street' 
O115,'Taste of India','Restaurant',2,'22 Temple Bar' 
O116,'Meaghers Pub','Bar',3,'6 South William Street' 
O117,'Pizza Hut','Fast Food',2,'283-285 Richmond Road' 
O118,'Picasso Restaurant','Restaurant',3,'4 Suffolk Street' 
O119,'Ciao Bella Roma Restaurant','Restaurant',2,'1 Vernon Ave' 
O120,'JP Retail Ltd T/A Spar','Coffee Shop',2,'24/25 Parliament St' 
